feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
PB2_T10,PB,300,"{""mean_pearson_ic"": -0.0191461618493205, ""pearson_fdr_qvalue"": 0.1859463276990563, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5285714285714286}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0191461618493205,0.5285714285714286,False,0.1859463276990563,70
PB2_T11,PB,300,"{""mean_pearson_ic"": -0.0106952856643312, ""pearson_fdr_qvalue"": 0.4693284859177671, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.4714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0106952856643312,0.4714285714285714,False,0.4693284859177671,70
PB2_T12,PB,300,"{""mean_pearson_ic"": -0.0305615379273686, ""pearson_fdr_qvalue"": 0.0754231993214989, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0305615379273686,0.5714285714285714,False,0.0754231993214989,70
PB2_T2,PB,300,"{""mean_pearson_ic"": -0.0013442322127971, ""pearson_fdr_qvalue"": 0.0106807678789501, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6285714285714286}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0013442322127971,0.6285714285714286,True,0.0106807678789501,70
PB2_T3,PB,300,"{""mean_pearson_ic"": -0.0016409467325817, ""pearson_fdr_qvalue"": 0.3743745629869517, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0016409467325817,0.5428571428571428,False,0.3743745629869517,70
PB2_T4,PB,300,"{""mean_pearson_ic"": -0.0019371578589348, ""pearson_fdr_qvalue"": 0.5611637402656771, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0019371578589348,0.5,False,0.5611637402656771,70
PB2_T5,PB,300,"{""mean_pearson_ic"": 0.0030128779535143, ""pearson_fdr_qvalue"": 0.5578096280986755, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0030128779535143,0.5714285714285714,False,0.5578096280986755,70
PB2_T6,PB,300,"{""mean_pearson_ic"": 0.0025515055233687, ""pearson_fdr_qvalue"": 0.7233872224783846, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.4857142857142857}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0025515055233687,0.4857142857142857,False,0.7233872224783846,70
PB2_T7,PB,300,"{""mean_pearson_ic"": -0.0151590390466452, ""pearson_fdr_qvalue"": 0.2449868378244586, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5285714285714286}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0151590390466452,0.5285714285714286,False,0.2449868378244586,70
PB2_T8,PB,300,"{""mean_pearson_ic"": -0.0277613296264797, ""pearson_fdr_qvalue"": 0.0533548298523384, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0277613296264797,0.6142857142857143,False,0.0533548298523384,70
